Hobby
basketball
golf
running
walking
weight lifting
soccer
volleyball
badminton
yoga
pilates
pickleball
swimming
ice skating
roller skating
figure skating
rugby
darts
football
barre
tai chi
stretching
bowling
ice hockey
surfing
tennis
baseball
gymnastics
rock climbing
dancing
gardening
karate
horse racing
snowboarding
skateboarding
cycling
cheerleading
archery
fishing
taekwondo
fencing
water skiing
skiing
jet skiing
scuba diving
wind surfing
kickboxing
sky diving
boxing
board games
brewery games
table tennis
hiking
juggling
jazzercise/aerobics
cross country
running track
visiting and walking around area gardens
card making
quilling
mod podge crafts
wreath making
oil painting
animal crossing
watercolor painting
acrylic painting
pastels
drawing
doodling
sketching
sculpture
cricut/silhouette crafts
diamond painting
wood burning
paint by number
glass painting
hand lettering
calligraphy
tissue paper crafts
stained glass
glass blowing
soap making
candle making
coloring
origami
star gazing
metal detecting
planning unique date night ideas
computer hobbies
prose writing
poetry writing
designing graphics
designing free printables
shopping
floral design
jewelry making
clay crafts
magic
pottery/ceramics
makeup art
hair styling
photography
sewing
knitting
embroidery
crochet
quilting
scrapbooking
bullet journaling
home decorating
acting
making dream catchers
cross stitch
canvas art
fashion design
collage making
felt arts
party planning
miniatures
nail art
leather crafts
puppetry
painting rocks
upcycled art
string art
tie dye
rock tumbling
building dollhouses
flower pressing
small space gardening
fashion photography
making dolls
designing clothes
carving
growing bonsai
printmaking
macrame
going to museums
making your own stickers
starting a YouTube channel
podcasting
preserving florals and stems
sticker collecting
reading
Minesweeper
decorating a planner
journaling
writing
crossword puzzles
sudoku
word scrambles
Wordle and other word games
rock paper scissors
learning a new language
travel and travel planning
note taking and research
online classes
card games
researching
blogging
picnic games
taking in-person classes
attending lectures
book club
volunteering
brain teasers
listening to podcasts
quote collecting
gratitude list
singing
joining a choir
learning to play guitar
learning to play keyboard or piano
learning to play drums
learning to play violin
learning to play cello
learning to play trumpet
joining a band
learning how to read music
starting a music blog
learning to write lyrics
concert or choir photography
listening to music
memorizing music lyrics
learning about musicians and music genres
collecting baseball cards
collecting sporting event tickets
collecting sports jerseys or memorabilia
collecting sports books
collecting custom pins
collecting autographed items
collecting sports balls or equipment
collecting tshirts
collecting magnets
collecting ladybug art or items
collecting butterfly art or items
collecting glamour items
collecting LEGO sets
collecting postcards
collecting art from around the world
collecting travel brochures
collecting travel books
collecting sea shells
collecting driftwood
collecting nautical or beach inspired items
collecting art or coffee table books
collecting ties
collecting shoes
collecting hats
collecting scarves
collecting calendars
collecting coasters
collecting books of matches
collecting corks
collecting wine
collecting bottle caps
collecting spirits
collecting spirit bottles
collecting vintage bottles
collecting vintage glass
collecting cookbooks
collecting figurines
collecting scouting memorabilia
collecting dolls
collecting dollhouses
collecting birdhouses
collecting bird-themed items
collecting vintage sewing notions
collecting vintage milk glass
collecting depression glass
collecting kawaii or Japanese collectibles
collecting Hello Kitty items
collecting vintage pyrex
collecting puzzles
collecting spices from around the world
collecting model cars
collecting matchbox cars
collecting candlesticks
collecting candles
collecting painted rocks
collecting plants
collecting mason jars
collecting cupcake wrappers
collecting china patterns
collecting snow globes
collecting christmas art and decor
collecting religious memorabilia
collecting holiday books
collecting snow-themed items
collecting records
collecting DVDs or VHS tapes
collecting fruit-themed decor
collecting specific colored items
collecting pez dispensers
collecting unusual candy
collecting mirrors
collecting stuffed animals
collecting animal-themed items
collecting bells
collecting video games
collecting book-themed items
collecting kitschy artwork
collecting coffee mugs
collecting tea cups
collecting teas
stamp collecting
collecting tv show or movie items
collecting sheet music
collecting musical instruments
collecting decade memorabilia
collecting presidential memorabilia
collecting vases or ceramics
collecting rug beaters
collecting cake pans
collecting cupcake/muffin pans
cooking
baking
vegetarian cooking/baking
vegan cooking/baking
BBQ or grilling
cocktails
wine beer or spirits tasting
starting a food or drink blog
taking a cooking class
making neapolitan pizza at home
hosting a supper club
creating elaborate dessert bars
cooking national food holiday recipes
bingo
online games
puzzles
3D puzzles
chess
checkers
puzzle board games
video games
themed games
lawn games
building wooden toys
furniture building
building model kits
themed model kits
wood turning
wood carving
creating vision boards
meditation
gratitude journaling
sightseeing
film watching and review
watching documentaries
DIY projects and home improvement
