basketball
golf
running
walking
weight lifting
soccer
volleyball
badminton
yoga
pilates
pickleball
swimming
ice skating
roller skating
figure skating
rugby
darts
football
barre
tai chi
stretching
bowling
ice hockey
surfing
tennis
baseball
gymnastics
rock climbing
dancing
gardening
karate
horse racing
snowboarding
skateboarding
cycling
cheerleading
archery
fishing
taekwondo
fencing
water skiing
skiing
jet skiing
scuba diving
wind surfing
kickboxing
sky diving
boxing
board games
brewery games
table tennis
hiking
juggling
jazzercise/aerobics
cross country
running track
visiting and walking around area gardens
card making
quilling
mod podge crafts
wreath making
oil painting
animal crossing
watercolor painting
acrylic painting
pastels
drawing
doodling
sketching
sculpture
cricut/silhouette crafts
diamond painting
wood burning
paint by number
glass painting
hand lettering
calligraphy
tissue paper crafts
stained glass
glass blowing
soap making
candle making
coloring
origami
star gazing
metal detecting
planning unique date night ideas
computer hobbies
prose writing
poetry writing
designing graphics
designing free printables
shopping
floral design
jewelry making
clay crafts
magic
jiu jitsu
MMA
Muay Thai
pottery/ceramics
makeup art
hair styling
photography
sewing
knitting
embroidery
crochet
quilting
scrapbooking
bullet journaling
home decorating
acting
making dream catchers
cross stitch
canvas art
fashion design
collage making
felt arts
party planning
miniatures
nail art
leather crafts
puppetry
painting rocks
upcycled art
string art
tie dye
rock tumbling
building dollhouses
flower pressing
small space gardening
fashion photography
making dolls
designing clothes
carving
growing bonsai
printmaking
macrame
going to museums
making your own stickers
starting a YouTube channel
podcasting
preserving florals and stems
sticker collecting
reading
Minesweeper
decorating a planner
journaling
writing
crossword puzzles
sudoku
word scrambles
Wordle and other word games
rock paper scissors
learning a new language
travel and travel planning
note taking and research
online classes
card games
researching
blogging
picnic games
taking in-person classes
attending lectures
book club
volunteering
brain teasers
listening to podcasts
quote collecting
gratitude list
singing
joining a choir
learning to play guitar
learning to play keyboard or piano
learning to play drums
learning to play violin
learning to play cello
learning to play trumpet
joining a band
learning how to read music
starting a music blog
learning to write lyrics
concert or choir photography
listening to music
memorizing music lyrics
learning about musicians and music genres
baseball cards
sporting event tickets
sports jerseys or memorabilia
sports books
custom pins
autographed items
sports balls or equipment
tshirts
magnets
ladybug art or items
butterfly art or items
glamour items
LEGO sets
postcards
art from around the world
travel brochures
travel books
sea shells
driftwood
nautical or beach inspired items
art or coffee table books
ties
shoes
hats
scarves
calendars
coasters
books of matches
corks
wine
bottle caps
spirits
spirit bottles
vintage bottles
vintage glass
cookbooks
figurines
scouting memorabilia
dolls
dollhouses
birdhouses
bird-themed items
vintage sewing notions
vintage milk glass
depression glass
kawaii or Japanese collectibles
Hello Kitty items
vintage pyrex
puzzles
spices from around the world
model cars
matchbox cars
candlesticks
candles
painted rocks
plants
mason jars
cupcake wrappers
china patterns
snow globes
christmas art and decor
religious memorabilia
holiday books
snow-themed items
records
DVDs or VHS tapes
fruit-themed decor
specific colored items
pez dispensers
unusual candy
mirrors
stuffed animals
animal-themed items
bells
video games
book-themed items
kitschy artwork
coffee
tea cups
teas
stamps
tv show or movie items
sheet music
musical instruments
decade memorabilia
presidential memorabilia
vases or ceramics
rug beaters
cake pans
cupcake/muffin pans
cooking
baking
vegetarian cooking/baking
vegan cooking/baking
BBQ or grilling
cocktails
wine beer or spirits tasting
starting a food or drink blog
taking a cooking class
making neapolitan pizza at home
hosting a supper club
creating elaborate dessert bars
cooking national food holiday recipes
cafes
bingo
online games
3D puzzles
chess
checkers
puzzle board games
themed games
lawn games
building wooden toys
furniture building
building model kits
themed model kits
wood turning
wood carving
creating vision boards
meditation
gratitude journaling
sightseeing
film watching
watching documentaries
DIY projects and home improvement
trivia
clubbing/nightlife
going to concerts
music festivals
raves
karaoke
bar hopping/pub crawls
brunching
run clubs
marathon/half marathon training
triathlon
CrossFit
HIIT workouts
calisthenics
powerlifting
gym/fitness classes
hot yoga
bouldering/climbing gyms
parkour
ultimate frisbee
flag football
disc golf
spikeball
padel
intramural/pickup sports
longboarding
mountain biking
paddleboarding
kayaking
camping
backpacking
van life/road trips
cold plunges
sauna culture
gaming/esports
streaming on Twitch
speedrunning
VR gaming
building gaming PCs
mechanical keyboards
Dungeons & Dragons
tabletop RPGs
Pokemon/trading card games
poker nights
mahjong
escape rooms
laser tag
paintball
airsoft
go-karting
geocaching
thrifting/vintage shopping
sneaker collecting
streetwear fashion
upcycling/customizing clothes
skincare routines
anime and manga
cosplay
attending conventions
K-pop fandom
vinyl collecting
DJing
music production/beat making
learning DJ software
open mic nights
improv comedy
stand-up comedy
slam poetry
TikTok content creation
social media content creation
vlogging
film photography
drone photography
3D printing
coding side projects
building apps or games
learning AI tools
graphic design/digital art
digital illustration on iPad
BookTok/reading challenges
fantasy sports leagues
astrology
tarot
crystal collecting
plant parenting
boba/bubble tea hunting
foodie culture/restaurant hopping
food truck hopping
home barista/latte art
matcha making
sourdough baking
mixology at home
dog walking/pet sitting
fostering animals
hot girl walks/city walks
hammocking
slacklining
language exchange meetups
board game cafes
